ΑΚΑΔΗΜΑΙΚΟ ΕΤΟΣ ΠΛΗΡΕΣ,ΑΚΑΔΗΜΑΙΚΟ ΕΤΟΣ,ΧΡΟΝΟΠΕΡΙΟΔΟΣ,ΠρώτοΤουΑΠΟ ΗΜΕΡΟΜΗΝΙΑ,ΠρώτοΤουΕΩΣ ΗΜΕΡΟΜΗΝΙΑ,ΠρώτοΤουΗΜΕΡΑ,ΠρώτοΤου(ΤΜΗΜΑ ΚΑΤΑΝΟΜΗ),ΠρώτοΤου(ΤΜΗΜΑ (ΔΕΣΜΕΥΣΗ) ***),ΠρώτοΤου(Π/Μ ***),ΠρώτοΤου(ΕΞΑΜ ***),ΠρώτοΤου(Υ/Ε ***),ΠρώτοΤου(ΚΩΔ ΜΑΘΗΜ ***),ΠρώτοΤου(ΛΕΚΤ ΜΑΘΗΜ),ΠρώτοΤου(ΔΙΔ ΜΟΝΑΔΕΣ),ΠρώτοΤου(ΔΙΔΑΣΚΩΝ),ΠρώτοΤουΗΜΕΡΟΜΗΝΙΑ ΜΙΑΣ ΜΕΡΑΣ,ουΠρώτοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ:00,ουΤελευταίοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ:00,ΠρώτοΤουΠρώτοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ,ΠρώτοΤουΤελευταίοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ,ΠρώτοΤουΑναγνωριστικό,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΠΕΙ,2,Π,6,ΕΕ,18078,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,79770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΠΕΙ,2,Π,6,ΕΕ,18080,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,88141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΕΜΕΠ,2,Π,6,ΕΕ,18084,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,72125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΔΕΠΣ,2,Π,2,Υ,18086,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,88126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΠΕΙ,2,Π,6,ΣΕ,18091,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,88144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΓΤΔ,2,Π,6,ΣΕ,20831,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,79818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΠΕΙ,2,Π,6,ΣΕ,20832,,,,,18:00:00,20:00:00,17:00-18:00,19:00-20:00,72077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΠΕΙ,2,Π,6,ΣΕ,18097,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,80073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΕΠΣ,6,Π,8,Υ,18111,,,,,19:00:00,21:00:00,18:00-19:00,20:00-21:00,71916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΕΠΣ,6,Π,8,Υ,18112,,,,,13:00:00,15:00:00,12:00-13:00,14:00-15:00,72611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΔΕΠΣ,6,Π,Ε,8,18116,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,88120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΔΕΠΣ,6,Π,6,Ε,18120,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,79908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΔΕΠΣ,6,Π,Υ,8,18121,,,,,13:00:00,15:00:00,12:00-13:00,14:00-15:00,80017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΔΕΠΣ,6,Π,2,Υ,18126,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,88501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΔ,6,Π,2,Υ,18127,,,,,19:00:00,21:00:00,18:00-19:00,20:00-21:00,71808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΔΕΠΣ,6,Π,2,Υ,18128,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,79926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΕΠΣ,6,Π,4,Υ,18139,,,,,10:00:00,12:00:00,09:00-10:00,11:00-12:00,71661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΔΔ,6,Π,4,ΥΠ,18141,,,,,19:00:00,21:00:00,18:00-19:00,20:00-21:00,88076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΕΠΣ,6,Π,6,Υ,18142,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,71912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΔΕΠΣ,6,Π,8,Υ,18143,,,,,16:00:00,18:00:00,15:00-16:00,17:00-18:00,104269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΕΠΣ,6,Π,2,Υ,18145,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,71840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΔΕΠΣ,6,Π,8,Υ,18155,,,,,10:00:00,12:00:00,09:00-10:00,11:00-12:00,104335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΔΕΠΣ,6,Π,8,Υ,18158,,,,,19:00:00,21:00:00,18:00-19:00,20:00-21:00,104344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΔΕΠΣ,6,Π,8,Ε,18160,,,,,10:00:00,12:00:00,09:00-10:00,11:00-12:00,80664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΕΠΣ,6,Π,2,Υ,18162,,,ΣΥΡΙΓΟΣ,,10:00:00,12:00:00,09:00-10:00,11:00-12:00,72625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΔΕΠΣ,6,Π,4,ΕΕ,20911,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,104094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΔΕΠΣ,6,Π,4,Ε,18169,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,87880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΕΠΣ,6,Π,4,Ε,18171,,,,,13:00:00,15:00:00,12:00-13:00,14:00-15:00,71664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΔΕΠΣ,6,Π,Υ,8,18175,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,88123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΕΠΣ,6,Π,8,Υ,18177,,,,,16:00:00,18:00:00,15:00-16:00,17:00-18:00,71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,,6,Π,6,Ε,18180,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,104733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΔΕΠΣ,6,Π,Υ,6,18183,,,,,10:00:00,12:00:00,09:00-10:00,11:00-12:00,80014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,,6,Π,6,Ε,18185,,,,,18:00:00,20:00:00,17:00-18:00,19:00-20:00,72311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΕΠΣ,6,Π,6,Ε,20934,,,,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,71909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΔΕΠΣ,6,Π,8,Υ,18194,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,71906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΔΕΠΣ,6,Π,Ε,8,18195,,,,,19:00:00,21:00:00,18:00-19:00,20:00-21:00,80023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,,,,,,30/05/15 ΦΟΙΤ ΕΚΛΟΓ,,,,,:00,:00,,,71623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΤΟΠΑ,2,,,,30/05/16 ΔΕΠΣ ΣΥΡΙΓΟΣ,,,,,09:00:00,10:00:00,08:00-09:00,09:00-10:00,71798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,2,ΚΟΙΝ,5,Π,1,Υ,18217,ΑΡΧΕΣ ΚΟΙΝΩΝΙΟΛΟΓΙΑΣΙΙ,3,ΞΑΝΘΟΠΟΥΛΟΣ,,13:00:00,15:00:00,12:00-13:00,14:00-15:00,80359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,ΚΟΙΝ,5,Π,2,Υ,18218,ΟΙΚΟΝΟΜΙΑ ΚΑΙ ΚΟΙΝΩΝΙΑ ΣΤΗΝ ΕΛΛΑΔΑ 19 ΑΙ,3,ΚΟΤΕΑ,,12:00:00,14:00:00,11:00-12:00,13:00-14:00,104715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,1,ΚΟΙΝ,5,Π,6,Ε,18220,ΕΓΚΛΗΜΑΤΟΛΟΓΙΚΕΣ ΠΡΟΣΕΓΓΙΣΕΙΣ ΠΔ,3,ΛΑΜΠΡΟΠΟΥΛΟΥ,,13:00:00,15:00:00,12:00-13:00,14:00-15:00,72180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,5,,5,Π,8,Σ,20966,ΕΓΚΛΗΜΑΤΟΛΟΓΙΚΕΣ ΠΟΙΝΙΚΕΣ ΟΨΕΙΣ,3,ΝΙΚΟΛΟΠΟΥΛΟΣ ΖΙΟΥΒΑΣ,,10:00:00,12:00:00,09:00-10:00,11:00-12:00,105036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,49,23/02/16,06/06/16,3,ΚΟΙΝ,5,Π,2,Υ,18230,ΘΕΩΡΙΑ ΚΟΙΝΩΝΙΚΗΣ ΣΤΡΩΜΑΤΩΣΗΣ,3,ΛΥΤΡΑΣ,,13:00:00,15:00:00,12:00-13:00,14:00-15:00,88466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
